id,gloss,pos,official,predicted,norm_edit,branch_cov,n_langs
473,nipple,noun,brådavička,brådavika,0.100,3,12
37230,Purgatory,noun,čistilišče,čistilište,0.100,1,13
25068,wormhole,noun,črvotočina,crvotočina,0.100,2,13
2181,ninety,num,devęťdesęt,devedeset,0.100,2,11
37051,"disc jockey, DJ",noun,diskdžokej,diskžokej,0.100,2,19
7162,prove,verb,dokazyvati,dokazovati,0.100,3,10
7206,"complement, supplement",verb,dopȯlnjati,dopolnati,0.100,2,13
7287,allowed,adj,dozvoljeny,dozvoleny,0.100,2,20
22993,bilingual,adj,dvujęzyčny,dvųjezičny,0.100,3,14
3291,gentleman,noun,džentelmen,džentlmen,0.100,3,16
25473,exterior,noun,eksterier,eksterijer,0.100,3,20
19690,"possibly, conceivably",adv,eventuaľno,eventualne,0.100,2,20
1020,French,adj,francuzsky,francusky,0.100,2,12
17449,surgical,adj,hirugičny,hirurgičny,0.100,2,11
23847,impressive,adj,imponujųći,imponųjuci,0.100,2,21
6408,Indian (American),adj,indijansky,indiansky,0.100,3,12
482,"exclude, except",verb,izključiti,isključiti,0.100,2,16
26191,"uproot, extirpate",verb,izkoreniti,iskoreniti,0.100,2,21
20869,test,verb,izpytyvati,ispytyvati,0.100,1,22
32399,apology,noun,izvinjeńje,izvinenje,0.100,2,16
3851,simultaneous,adj,jednočasny,jednočesny,0.100,2,16
26429,censer,noun,kadiľnica,kadilinica,0.100,3,12
19775,Catalan,adj,katalansky,katalonsky,0.100,3,11
8431,"annually, yearly, every year",adv,každoročno,každoročne,0.100,1,18
1623,crown,verb,koronovati,korunovati,0.100,2,10
35720,baptist (person who baptizes),noun,krestitelj,krstitelj,0.100,3,11
16482,"credulous, gullible",adj,legkověrny,lehkoverny,0.100,3,24
20446,trifle,noun,malenjkosť,malenkosť,0.100,1,19
27412,sparsely populated,adj,maloljudny,maloludny,0.100,3,21
20450,taciturn,adj,malomȯlvny,malomovny,0.100,2,23
27582,misalliance,noun,mezalians,mezalijans,0.100,3,18
22302,"involuntary, unintentional",adj,mimovoljny,mimovolny,0.100,3,25
5131,"perennial, long-years, long-term, long standing, lasting many years",adj,mnogolětny,mnoguletny,0.100,2,25
32677,throw on,verb,nakydyvati,nakidyvati,0.100,1,10
33051,"correct, repair, set right, make good",verb,napravjati,napravlati,0.100,1,21
2767,tension,noun,naprųžeńje,napreženje,0.100,2,23
2787,population,noun,naseljeńje,naselenje,0.100,2,17
33213,tie on,verb,navęzyvati,navazyvati,0.100,1,18
22172,"perplexity, consternation",noun,nedouměńje,nedumenje,0.100,2,28
35690,inseparable,adj,neoddělimy,neotdelimy,0.100,2,17
35715,Neolithic,adj,neolitičny,neolityčny,0.100,2,12
9610,unfounded,adj,neosnovany,neosnovny,0.100,1,16
17937,intransitive,adj,neprěhodny,nepruhodny,0.100,3,11
33495,unconscious,adj,nepritomny,neprytomny,0.100,2,18
28501,impassable,adj,neprohodny,neprahodny,0.100,3,16
28505,inseparable,adj,neråzlųčny,nerozlųčny,0.100,2,18
28534,impatience,noun,netŕpěńje,netȯrpenje,0.100,2,18
34975,"unlucky person, loser, outsider",noun,neudačnik,nieudačnik,0.100,2,27
3059,awkward,adj,nezgrabny,niezgrabny,0.100,2,28
34077,bark at,verb,oblajivati,oblajavati,0.100,2,12
18005,lick,verb,oblizyvati,oblizivati,0.100,2,11
